,redshift,thv,loge0,thc,logn0,p,logepse,logepsb,ksin,g0
0,0.01,0.6656579410560424,49.73296843202974,0.0817966475078726,-4.245004917501473,2.3,-1.25,-2.5,1.0,1000.0
1,0.01,1.3244255179455533,49.46211310490813,0.02148764468483543,1.8351606921682855,2.3,-1.25,-2.5,1.0,1000.0
2,0.01,0.6521569354923163,47.0810169998674,0.08483573472581822,-1.8685461623546358,2.3,-1.25,-2.5,1.0,1000.0
3,0.01,0.7631376258358963,51.7462063325285,0.08565080830944256,-2.1058790414563693,2.3,-1.25,-2.5,1.0,1000.0
4,0.01,1.4351651582071014,51.28001283273071,0.030589717681424634,-1.3073517189704895,2.3,-1.25,-2.5,1.0,1000.0
5,0.01,0.4363518757724127,47.09710200040908,0.029605700459286767,-2.7963652419196237,2.3,-1.25,-2.5,1.0,1000.0
6,0.01,0.4439417823041221,46.422457590016364,0.09748231902147646,0.6603809907343727,2.3,-1.25,-2.5,1.0,1000.0
7,0.01,0.7467341266799961,48.72784506422753,0.026683871599525476,0.647502776682904,2.3,-1.25,-2.5,1.0,1000.0
8,0.01,0.6716433207846906,50.08563639040886,0.031062370471995893,-0.6615630558727608,2.3,-1.25,-2.5,1.0,1000.0
9,0.01,0.7437460869595597,52.705314001374504,0.021119282611749814,-1.209311569416342,2.3,-1.25,-2.5,1.0,1000.0
10,0.01,0.14409073989517943,48.908731830576535,0.0552045198128026,-0.7096248898171789,2.3,-1.25,-2.5,1.0,1000.0
11,0.01,1.1825842871507832,50.53962542654864,0.04629753082905719,-2.1572319387254755,2.3,-1.25,-2.5,1.0,1000.0
12,0.01,1.3131311143595619,52.026849508510104,0.04028158494986088,0.732096246541003,2.3,-1.25,-2.5,1.0,1000.0
13,0.01,1.2519875176442266,48.27039616769595,0.055275701247464774,-0.2320205573855887,2.3,-1.25,-2.5,1.0,1000.0
14,0.01,1.0815138155151596,47.98561564713869,0.09416745991514157,-2.716355249952402,2.3,-1.25,-2.5,1.0,1000.0
15,0.01,0.614404061000735,50.49307319537853,0.06485522905955089,-1.8998874051884322,2.3,-1.25,-2.5,1.0,1000.0
16,0.01,1.5409596395425416,50.913704086152734,0.049455497729054776,-0.7373032953474983,2.3,-1.25,-2.5,1.0,1000.0
17,0.01,0.700579700347703,49.582642383298285,0.09442378722729475,-4.573755126821705,2.3,-1.25,-2.5,1.0,1000.0
18,0.01,1.4142728614294966,50.55499939654366,0.0768777581662934,-0.16057611967092722,2.3,-1.25,-2.5,1.0,1000.0
19,0.01,0.5783671413210393,48.91112974403752,0.05959869563048104,-1.8477635781589803,2.3,-1.25,-2.5,1.0,1000.0
20,0.01,0.8686915863655382,52.36416550974908,0.0600387596151454,-3.120219279860888,2.3,-1.25,-2.5,1.0,1000.0
21,0.01,0.185717182689607,51.09044798661009,0.08000934668691077,-0.4599449712081043,2.3,-1.25,-2.5,1.0,1000.0
22,0.01,1.2364865591110006,47.635026336010235,0.0524804521349895,-1.384076517462911,2.3,-1.25,-2.5,1.0,1000.0
23,0.01,0.6488682020883404,50.32150594589651,0.0709366973747611,-1.172215364576192,2.3,-1.25,-2.5,1.0,1000.0
24,0.01,0.9708615605857602,46.24211543363104,0.0551017112988202,0.22790897404666488,2.3,-1.25,-2.5,1.0,1000.0
25,0.01,1.0444669717671904,46.84061481765787,0.06060687242522179,-1.3214798916873995,2.3,-1.25,-2.5,1.0,1000.0
26,0.01,1.547498975710946,48.347503081351974,0.032402999756576546,0.30760367203855576,2.3,-1.25,-2.5,1.0,1000.0
27,0.01,1.5278792851810459,51.7501841547501,0.09556507033681709,-2.168405981458481,2.3,-1.25,-2.5,1.0,1000.0
28,0.01,0.9131149805492343,49.2604701656695,0.09602228342172901,1.048462856329861,2.3,-1.25,-2.5,1.0,1000.0
29,0.01,1.4936646025063631,51.11443047684393,0.0744090921003813,1.1077309893316647,2.3,-1.25,-2.5,1.0,1000.0
30,0.01,0.18446753033378718,46.58675909396266,0.05347715067876636,1.4460302677979398,2.3,-1.25,-2.5,1.0,1000.0
31,0.01,1.112001171032034,50.38741489098707,0.017583117893845184,1.622009119215238,2.3,-1.25,-2.5,1.0,1000.0
32,0.01,1.2919953975359486,49.79807303686981,0.06566337066573519,1.704060398425776,2.3,-1.25,-2.5,1.0,1000.0
33,0.01,1.2412669002384509,50.241933169638266,0.0645363509808565,0.6457058251074841,2.3,-1.25,-2.5,1.0,1000.0
34,0.01,0.7130542085805517,52.363612628516734,0.07760455317751502,1.9329325963890192,2.3,-1.25,-2.5,1.0,1000.0
35,0.01,1.3372732894872525,51.107556850066985,0.046486289276582014,0.4717161726994661,2.3,-1.25,-2.5,1.0,1000.0
36,0.01,0.19845278063264918,50.06188330134372,0.07039833412479041,0.6061956583101189,2.3,-1.25,-2.5,1.0,1000.0
37,0.01,1.3546874482383156,47.66727105231702,0.057196966648215136,-0.963995088073287,2.3,-1.25,-2.5,1.0,1000.0
38,0.01,0.8810077199277005,51.59996260359942,0.052974756953875185,-2.471065946705081,2.3,-1.25,-2.5,1.0,1000.0
39,0.01,1.0449783850484031,51.95601814891294,0.05344470587218181,-1.9677650891056597,2.3,-1.25,-2.5,1.0,1000.0
40,0.01,1.547465815529754,49.25915733297512,0.025510501349355123,-1.2161913423341515,2.3,-1.25,-2.5,1.0,1000.0
41,0.01,1.3761303958766866,51.62679000859928,0.036724610210301864,-0.5399035603524887,2.3,-1.25,-2.5,1.0,1000.0
42,0.01,0.7187506864453924,51.699871650707045,0.0743389904385007,1.8468164514078245,2.3,-1.25,-2.5,1.0,1000.0
43,0.01,1.2429160366369456,50.80269265144149,0.024107877963277784,0.8203859509346465,2.3,-1.25,-2.5,1.0,1000.0
44,0.01,0.9822612376902153,48.69982902438888,0.09806340484214694,1.9188216391532729,2.3,-1.25,-2.5,1.0,1000.0
45,0.01,1.42582446643341,51.41024178761825,0.047967710963917276,-1.209001161876798,2.3,-1.25,-2.5,1.0,1000.0
46,0.01,0.7344238390658435,48.657826155908396,0.01084300042210286,-1.3664827434612983,2.3,-1.25,-2.5,1.0,1000.0
47,0.01,1.0426257259849527,50.98537295400428,0.015699072738257963,-0.6940498828511901,2.3,-1.25,-2.5,1.0,1000.0
48,0.01,1.2216509578570873,51.795277804794836,0.012123073543127347,-0.9389478581677144,2.3,-1.25,-2.5,1.0,1000.0
49,0.01,1.015396261806924,48.166938559241316,0.05982704471947504,-2.346712983014533,2.3,-1.25,-2.5,1.0,1000.0
50,0.01,0.808487921885648,52.40037016322296,0.089018960437587,-0.21000408454252018,2.3,-1.25,-2.5,1.0,1000.0
51,0.01,0.8106717073206182,49.150461625067706,0.022813495681176094,-2.5927887837754517,2.3,-1.25,-2.5,1.0,1000.0
52,0.01,0.3540971350480676,46.79450035492393,0.07136227454865375,-1.950611045993027,2.3,-1.25,-2.5,1.0,1000.0
53,0.01,0.9883094652878643,47.048870266101446,0.021777702514228187,1.5528075834469366,2.3,-1.25,-2.5,1.0,1000.0
54,0.01,0.5072892126354493,49.72173068462562,0.08899661091815661,-3.63204200442114,2.3,-1.25,-2.5,1.0,1000.0
55,0.01,1.5552049874428453,51.941629564435,0.03188436027942306,1.3494713083980647,2.3,-1.25,-2.5,1.0,1000.0
56,0.01,1.0671705114076349,52.168049952517144,0.08732661391721318,-2.043313742787575,2.3,-1.25,-2.5,1.0,1000.0
57,0.01,1.032126326776549,46.990218347724095,0.03012535308104989,0.6965423084232185,2.3,-1.25,-2.5,1.0,1000.0
58,0.01,1.2561848580290018,46.8050502974852,0.06637340105800194,0.9515288065852907,2.3,-1.25,-2.5,1.0,1000.0
59,0.01,0.6952935076181445,47.855474653289605,0.0669994508143942,-3.1755057463983705,2.3,-1.25,-2.5,1.0,1000.0
60,0.01,1.232625132539267,51.62137375285286,0.07470656363079878,1.2649642000854469,2.3,-1.25,-2.5,1.0,1000.0
61,0.01,0.8426471335878879,48.82599385755972,0.07860694107185016,-2.7078043014342437,2.3,-1.25,-2.5,1.0,1000.0
62,0.01,0.41021203426114283,47.25712449100247,0.07397388372646503,-0.7165445985467818,2.3,-1.25,-2.5,1.0,1000.0
63,0.01,0.44057888050537347,48.47110733023732,0.0462692482211743,-0.34906653315875946,2.3,-1.25,-2.5,1.0,1000.0
64,0.01,0.9316972563549402,51.07180799927985,0.02534004685353387,0.2393512707528167,2.3,-1.25,-2.5,1.0,1000.0
65,0.01,1.357286243309225,51.03314243360287,0.03889153534445546,-0.4334730062314849,2.3,-1.25,-2.5,1.0,1000.0
66,0.01,0.34346136023994056,48.87584610337572,0.030463546572295802,-0.2795856414050464,2.3,-1.25,-2.5,1.0,1000.0
67,0.01,0.4011589024863084,50.3283997191643,0.08654017070572939,-3.5776318704334873,2.3,-1.25,-2.5,1.0,1000.0
68,0.01,0.8697145101525439,48.78422286563583,0.04064430700371029,-2.2796667886557036,2.3,-1.25,-2.5,1.0,1000.0
69,0.01,1.4098346430829745,48.92575951690564,0.022168800534018117,-1.0186491735840568,2.3,-1.25,-2.5,1.0,1000.0
70,0.01,1.0527735702433878,46.91700166618888,0.04393242052486427,-0.2901016207638225,2.3,-1.25,-2.5,1.0,1000.0
71,0.01,0.5758292426670519,46.57477830017689,0.04348146635483311,1.9434440489341123,2.3,-1.25,-2.5,1.0,1000.0
72,0.01,0.7325247031741279,49.12527779065942,0.02021934784256866,-2.683139681458366,2.3,-1.25,-2.5,1.0,1000.0
73,0.01,1.442455928441688,47.525199638757336,0.07811347739061215,-1.4573812379829674,2.3,-1.25,-2.5,1.0,1000.0
74,0.01,0.8523781536112867,51.3742866384563,0.053434036482054074,-3.4182063248873904,2.3,-1.25,-2.5,1.0,1000.0
75,0.01,1.060213277862575,50.917401867021354,0.03862003746503733,-2.3448542414177282,2.3,-1.25,-2.5,1.0,1000.0
76,0.01,0.6308229911433414,47.463787499376274,0.022023731614065838,1.2111918937976345,2.3,-1.25,-2.5,1.0,1000.0
77,0.01,1.1931193309813284,47.717004012815345,0.07727170331219614,-0.5984671778818109,2.3,-1.25,-2.5,1.0,1000.0
78,0.01,0.3164766548163613,51.370355862809,0.07102244957328774,1.9461973567054978,2.3,-1.25,-2.5,1.0,1000.0
79,0.01,0.6649127977967028,49.130416007452176,0.082106011221134,-4.42566926970097,2.3,-1.25,-2.5,1.0,1000.0
80,0.01,0.8115586846639701,51.95521285881881,0.09592984368268799,0.19941736256019205,2.3,-1.25,-2.5,1.0,1000.0
81,0.01,0.9390160426022657,46.14899336669948,0.07394037708073806,-0.21186843372058028,2.3,-1.25,-2.5,1.0,1000.0
82,0.01,0.33027372964475166,52.14552055891565,0.02737889026800354,-4.164544229697021,2.3,-1.25,-2.5,1.0,1000.0
83,0.01,0.8678316258948092,48.345921389190806,0.05150753113049246,1.6942636854999922,2.3,-1.25,-2.5,1.0,1000.0
84,0.01,1.125335398584445,47.428466770348635,0.012969801625700366,1.974877967321719,2.3,-1.25,-2.5,1.0,1000.0
85,0.01,1.1736073786073657,46.70627899684888,0.04616738476954366,1.20176178194321,2.3,-1.25,-2.5,1.0,1000.0
86,0.01,0.9994924097152712,51.74158664864252,0.030206408820316555,-1.4247034309495898,2.3,-1.25,-2.5,1.0,1000.0
87,0.01,1.364366911148536,50.78232335089023,0.04502453910640493,-1.5072856195721913,2.3,-1.25,-2.5,1.0,1000.0
88,0.01,0.42506895312342974,46.63575499597139,0.089606327743741,0.3533851593226123,2.3,-1.25,-2.5,1.0,1000.0
89,0.01,1.2359523572627766,48.492170393513625,0.015821976390016354,-1.097161957996069,2.3,-1.25,-2.5,1.0,1000.0
90,0.01,1.5315729128016569,48.78643212208386,0.07660199934079709,1.7787233483642044,2.3,-1.25,-2.5,1.0,1000.0
91,0.01,1.5540839258881638,47.508272663992734,0.08982850480671144,1.5347871675586067,2.3,-1.25,-2.5,1.0,1000.0
92,0.01,0.9236456120023275,52.18846642801908,0.07452013142706486,-0.2556720122542355,2.3,-1.25,-2.5,1.0,1000.0
93,0.01,1.380969737748457,52.67637679619847,0.09838928340752255,-1.2518314206987524,2.3,-1.25,-2.5,1.0,1000.0
94,0.01,0.48877675771833173,50.29128765672783,0.06131235736514091,0.8790402481385247,2.3,-1.25,-2.5,1.0,1000.0
95,0.01,1.170533702984688,50.87491041959868,0.0892989985347275,-1.7298383414050105,2.3,-1.25,-2.5,1.0,1000.0
96,0.01,1.1943492807023786,47.468120414867066,0.059831434723358744,1.9556907395903274,2.3,-1.25,-2.5,1.0,1000.0
97,0.01,0.449806920429668,47.15556049037557,0.03484264758269224,-2.9073220301554663,2.3,-1.25,-2.5,1.0,1000.0
98,0.01,0.40509036892246125,48.00237409401228,0.08573486149493294,-4.400447928380588,2.3,-1.25,-2.5,1.0,1000.0
99,0.01,1.4582334388108034,52.70354360163598,0.05880500106037326,1.5863371396647512,2.3,-1.25,-2.5,1.0,1000.0
100,0.01,1.3979255936758868,52.235877145447404,0.08354456444137334,-0.013403953891889309,2.3,-1.25,-2.5,1.0,1000.0
101,0.01,1.1649980398830413,48.212771199636904,0.06227531888581597,1.5479638390009,2.3,-1.25,-2.5,1.0,1000.0
102,0.01,1.1781269510451562,48.234172849399414,0.04641633065251229,1.836014143006616,2.3,-1.25,-2.5,1.0,1000.0
103,0.01,0.5825771686339252,49.49744221311809,0.07800378380869608,1.0858594098663685,2.3,-1.25,-2.5,1.0,1000.0
104,0.01,0.6742568376751762,52.335819236580825,0.0795896617158397,-1.8547626323695314,2.3,-1.25,-2.5,1.0,1000.0
105,0.01,0.7213446979764899,48.30637220124547,0.05643275128485519,-0.003599519146133545,2.3,-1.25,-2.5,1.0,1000.0
106,0.01,1.189955654818698,52.82562418554837,0.0680694431337705,-1.306693349498949,2.3,-1.25,-2.5,1.0,1000.0
107,0.01,1.003624053451759,49.26755011055806,0.021350201390726742,-2.0809461049989473,2.3,-1.25,-2.5,1.0,1000.0
108,0.01,1.0650385229993549,51.819300190783736,0.027123381319269536,1.6804756727454677,2.3,-1.25,-2.5,1.0,1000.0
109,0.01,0.662815100028239,47.599014057110026,0.07248504133240959,-2.448738004924033,2.3,-1.25,-2.5,1.0,1000.0
110,0.01,1.3249539855400219,49.33683206863134,0.05675722201721933,-1.4218888871172748,2.3,-1.25,-2.5,1.0,1000.0
111,0.01,0.6539522839682941,48.912588435466866,0.060009519130702536,-2.5324099906758075,2.3,-1.25,-2.5,1.0,1000.0
112,0.01,0.9664414689246007,51.18764092877214,0.03406033615323109,-2.7203112469702218,2.3,-1.25,-2.5,1.0,1000.0
113,0.01,1.1754862689688095,47.388269708468904,0.09982757422157021,-2.1226260179371854,2.3,-1.25,-2.5,1.0,1000.0
114,0.01,0.37891071752374517,51.50616148947749,0.03158299957507104,-0.44778192159403574,2.3,-1.25,-2.5,1.0,1000.0
115,0.01,1.394681785071915,47.697384837775296,0.025616991246794084,0.708062962596463,2.3,-1.25,-2.5,1.0,1000.0
116,0.01,0.7117152922453288,50.83022492764603,0.06948965252006994,0.0015551783764315985,2.3,-1.25,-2.5,1.0,1000.0
117,0.01,1.253607377277883,51.90984631665149,0.08062261144786084,-1.500738805755272,2.3,-1.25,-2.5,1.0,1000.0
118,0.01,0.7346532656944663,48.84776962949127,0.060450050978829106,-0.6468611457096847,2.3,-1.25,-2.5,1.0,1000.0
119,0.01,0.35208845159155766,52.452490989731515,0.012730377104699537,-4.392300245420547,2.3,-1.25,-2.5,1.0,1000.0
120,0.01,1.0200706139078504,47.10250360102752,0.07414071657916081,1.2864376482950561,2.3,-1.25,-2.5,1.0,1000.0
121,0.01,0.27538922329528587,47.67129995164479,0.08673690480791552,-0.45181662960254876,2.3,-1.25,-2.5,1.0,1000.0
122,0.01,1.375278320574436,46.22169748307428,0.02138486690333311,1.5987674229522195,2.3,-1.25,-2.5,1.0,1000.0
123,0.01,0.8804152367743321,47.259032606891815,0.022354788085402005,0.8417085366344441,2.3,-1.25,-2.5,1.0,1000.0
124,0.01,1.4211412458625474,52.35904171463232,0.03306566494619069,0.005770481967785734,2.3,-1.25,-2.5,1.0,1000.0
125,0.01,0.3593128332728827,50.56254737378628,0.08058175221602322,-2.891484530898298,2.3,-1.25,-2.5,1.0,1000.0
126,0.01,0.23088083079377275,46.74322810677777,0.013324732327338615,-1.9764533181358952,2.3,-1.25,-2.5,1.0,1000.0
127,0.01,0.5108119225832931,48.76663376259497,0.030319623437349764,-1.3872449855407107,2.3,-1.25,-2.5,1.0,1000.0
128,0.01,0.6401863585219383,47.06453214233624,0.07337050081339008,-1.0734314540086487,2.3,-1.25,-2.5,1.0,1000.0
129,0.01,0.8603524686345583,49.141346798038434,0.06971848763531915,-2.8216280385206365,2.3,-1.25,-2.5,1.0,1000.0
130,0.01,1.0610082173718811,47.40844092249596,0.09886538495082824,-0.007334018660842823,2.3,-1.25,-2.5,1.0,1000.0
131,0.01,0.8884526974278848,47.69444397149266,0.024783867293009906,1.20089281412473,2.3,-1.25,-2.5,1.0,1000.0
132,0.01,1.0583809509528777,49.35656225148617,0.04652724058494082,-1.8774077101074118,2.3,-1.25,-2.5,1.0,1000.0
133,0.01,0.5390522889642942,48.248136904091695,0.05315146348073738,1.9238333828150145,2.3,-1.25,-2.5,1.0,1000.0
134,0.01,1.5021723959076212,51.791062976406394,0.028448889356895136,-0.3943303974387691,2.3,-1.25,-2.5,1.0,1000.0
135,0.01,0.8862433725107335,47.20092609051137,0.0644054384176118,0.3961667994840168,2.3,-1.25,-2.5,1.0,1000.0
136,0.01,1.5701432577855725,52.17524007532241,0.08005029044501384,-0.850477833276809,2.3,-1.25,-2.5,1.0,1000.0
137,0.01,0.5607592372623491,50.72012614629943,0.09626283036664837,-1.7877308761777062,2.3,-1.25,-2.5,1.0,1000.0
