,redshift,thv,loge0,thc,logn0,p,logepse,logepsb,xiN,g0
0,0.01,0.059605657172552465,49.96651929167793,0.09901873619883998,1.1137140971796091,2.3,-1.25,-2.5,1.0,1000.0
1,0.01,0.02017838553805226,50.760905712453564,0.09195207071122964,-4.640226597671096,2.3,-1.25,-2.5,1.0,1000.0
2,0.01,0.013047923147322761,48.78783209756079,0.06582636578044568,-1.9216097900386875,2.3,-1.25,-2.5,1.0,1000.0
3,0.01,0.025945798407811804,50.694847112655054,0.05479330363293575,0.8887450283355918,2.3,-1.25,-2.5,1.0,1000.0
4,0.01,0.02993927083555048,49.25336933518251,0.03938655425799493,-4.406127472909243,2.3,-1.25,-2.5,1.0,1000.0
5,0.01,0.032646930662218944,49.33493816920002,0.07529561624595627,-2.161047712797992,2.3,-1.25,-2.5,1.0,1000.0
6,0.01,0.024903878673656454,50.96519492670077,0.047762608348055284,-2.07946031371279,2.3,-1.25,-2.5,1.0,1000.0
7,0.01,0.06415384929671704,50.606400002237166,0.07782995977371841,0.7844709094145603,2.3,-1.25,-2.5,1.0,1000.0
8,0.01,0.04602648657510772,49.05837540138793,0.0730162125478904,-0.4822955547256029,2.3,-1.25,-2.5,1.0,1000.0
9,0.01,0.008321510521995945,48.5404776613505,0.06367522607751082,1.159798898581486,2.3,-1.25,-2.5,1.0,1000.0
10,0.01,0.006257885785848028,52.659286072163525,0.01538246688946036,1.1048079432544107,2.3,-1.25,-2.5,1.0,1000.0
11,0.01,0.003545874366106383,49.885341968687754,0.02484993125067723,-4.711408610768452,2.3,-1.25,-2.5,1.0,1000.0
12,0.01,0.05198962751603159,48.7257993258151,0.09059312514117232,-0.47260300776358477,2.3,-1.25,-2.5,1.0,1000.0
13,0.01,0.06432577615056612,49.197756426483345,0.06462855787583573,-2.5624937095002984,2.3,-1.25,-2.5,1.0,1000.0
14,0.01,0.04851562662272804,50.9972644467973,0.09051172141848854,-1.9882683454557513,2.3,-1.25,-2.5,1.0,1000.0
15,0.01,0.03267776134636174,50.031963110508954,0.060767319427082786,0.5998686207137967,2.3,-1.25,-2.5,1.0,1000.0
16,0.01,0.019326453746281714,50.35393032104597,0.03364871770078788,-4.436761861431011,2.3,-1.25,-2.5,1.0,1000.0
17,0.01,0.03267249483263386,49.72577697071316,0.06090869562802149,-2.768606430691187,2.3,-1.25,-2.5,1.0,1000.0
18,0.01,0.029763992588192546,51.15820074878656,0.03895644215477739,1.7388051300070604,2.3,-1.25,-2.5,1.0,1000.0
19,0.01,0.008440816666128026,52.22466822080667,0.02399784576993716,-0.8116625398708281,2.3,-1.25,-2.5,1.0,1000.0
20,0.01,0.024500932811962063,52.08268492997249,0.04624951277308892,-3.5688523689770557,2.3,-1.25,-2.5,1.0,1000.0
21,0.01,0.01878154870890867,49.59174304560111,0.035897867019157155,-2.397230807984894,2.3,-1.25,-2.5,1.0,1000.0
22,0.01,0.002687829432414024,50.76548257330523,0.07494034684159441,-2.299599077016461,2.3,-1.25,-2.5,1.0,1000.0
23,0.01,0.004582458263603584,49.740814196625124,0.09254694354449815,1.4383311695810983,2.3,-1.25,-2.5,1.0,1000.0
24,0.01,0.04085932826388855,50.41884061589879,0.08140398171781697,-1.6270357707081082,2.3,-1.25,-2.5,1.0,1000.0
