,redshift,thv,loge0,thc,logn0,p,logepse,logepsb,xiN,g0
0,0.01,0.6858420908855007,48.79776212760784,0.028328949283900083,-1.3849739386837499,2.3,-1.25,-2.5,1.0,1000.0
1,0.01,0.4481218812532644,50.602606659237445,0.01958116304953792,-1.0356294416356309,2.3,-1.25,-2.5,1.0,1000.0
2,0.01,1.2064355581314774,52.001954900654646,0.0555145789163242,0.9713834931637138,2.3,-1.25,-2.5,1.0,1000.0
3,0.01,0.36766825178103746,49.29607029322754,0.09341495210320168,1.5732055754074041,2.3,-1.25,-2.5,1.0,1000.0
4,0.01,1.2170623604190505,49.86578978964338,0.09242771646416982,-2.9655029453125183,2.3,-1.25,-2.5,1.0,1000.0
5,0.01,0.5465168394063625,48.29934569004334,0.09046910548510888,-2.852380741213869,2.3,-1.25,-2.5,1.0,1000.0
6,0.01,1.394868424022992,50.04681667287032,0.05851726697499081,0.6436469330257815,2.3,-1.25,-2.5,1.0,1000.0
7,0.01,1.2620948745038385,51.24682945688196,0.04601688857873438,-2.315713700467959,2.3,-1.25,-2.5,1.0,1000.0
8,0.01,0.9933907793411961,49.140474048349496,0.08435874448968451,1.7221340647505068,2.3,-1.25,-2.5,1.0,1000.0
9,0.01,1.2659329232159005,52.833768628778536,0.06831469752440553,0.4153790817384664,2.3,-1.25,-2.5,1.0,1000.0
10,0.01,0.9394121518657761,48.61252639701815,0.09991836238129377,-2.2795665302168935,2.3,-1.25,-2.5,1.0,1000.0
11,0.01,1.314863459906197,52.21436283836972,0.04777922440377064,-0.12986837724836953,2.3,-1.25,-2.5,1.0,1000.0
12,0.01,0.8702412568014362,49.58627129251359,0.09897805990182855,-3.539302173930197,2.3,-1.25,-2.5,1.0,1000.0
13,0.01,0.0646624718880854,49.68921372408132,0.028612068585647764,-0.7074972463452713,2.3,-1.25,-2.5,1.0,1000.0
14,0.01,1.1918176552619977,49.86800440194466,0.024761703736428234,-0.3954142188500036,2.3,-1.25,-2.5,1.0,1000.0
15,0.01,1.3052527075289044,46.78829750529067,0.06225422826084306,1.6013320792595431,2.3,-1.25,-2.5,1.0,1000.0
16,0.01,0.7269902715765932,51.512924110365724,0.0761785708098712,-4.012574917630474,2.3,-1.25,-2.5,1.0,1000.0
17,0.01,0.9290309216212981,50.03035122178844,0.045500118423015795,-3.1756861762780177,2.3,-1.25,-2.5,1.0,1000.0
18,0.01,0.5414887904300999,50.084901640723274,0.02066761403041674,1.4332065811943568,2.3,-1.25,-2.5,1.0,1000.0
19,0.01,0.4879395725979909,48.60214703342176,0.010229313139743818,-2.8058828975500747,2.3,-1.25,-2.5,1.0,1000.0
20,0.01,0.16537262620157436,48.885192665835206,0.09988699418248792,-3.9372510638471594,2.3,-1.25,-2.5,1.0,1000.0
21,0.01,1.346166250333572,46.58254091713722,0.09982659726040728,-1.3940699739571416,2.3,-1.25,-2.5,1.0,1000.0
22,0.01,0.07895336726222149,47.90466560746293,0.04520546730457737,-4.341023804003253,2.3,-1.25,-2.5,1.0,1000.0
23,0.01,1.383146669197096,50.720404085018856,0.07421731037372815,0.645495861669704,2.3,-1.25,-2.5,1.0,1000.0
24,0.01,0.8676656022633528,47.02285558294348,0.07195125701937731,1.4420217411854894,2.3,-1.25,-2.5,1.0,1000.0
25,0.01,1.1431947861831133,50.99046630004884,0.010292745042464198,-2.0815114982215506,2.3,-1.25,-2.5,1.0,1000.0
26,0.01,0.8373089941565499,46.02957254585187,0.09495577859193105,-1.8274084778215802,2.3,-1.25,-2.5,1.0,1000.0
27,0.01,0.3676873597735322,48.63629982555238,0.035317200479143905,-1.4630781112425773,2.3,-1.25,-2.5,1.0,1000.0
28,0.01,0.7835515777403416,52.27233092980081,0.0847794585197577,-4.042959830945127,2.3,-1.25,-2.5,1.0,1000.0
29,0.01,1.0910580150100284,50.146373451721715,0.08524508413907027,1.3010976848475222,2.3,-1.25,-2.5,1.0,1000.0
30,0.01,1.115439187932792,49.307356995375976,0.08718717530780212,1.0975521995998498,2.3,-1.25,-2.5,1.0,1000.0
31,0.01,1.3246560350089187,51.02984293515362,0.07153447660318298,-0.1320887319436057,2.3,-1.25,-2.5,1.0,1000.0
32,0.01,1.0636264393667552,52.05984557429912,0.0644671441116846,-2.9430625661289462,2.3,-1.25,-2.5,1.0,1000.0
33,0.01,0.6931981650533604,48.244647617538085,0.01648044764541977,0.43994662292872455,2.3,-1.25,-2.5,1.0,1000.0
34,0.01,1.1157153945435265,51.70765109996731,0.02860308619662818,1.6534757211101878,2.3,-1.25,-2.5,1.0,1000.0
35,0.01,0.06001357443730669,51.90904062077611,0.029314697219001734,-0.8743152265190668,2.3,-1.25,-2.5,1.0,1000.0
36,0.01,0.8312548807590708,52.935746659012146,0.032463113576012295,-0.10090599814098056,2.3,-1.25,-2.5,1.0,1000.0
37,0.01,1.1599557815306758,47.568624644845976,0.09180328424567993,0.5317157036473859,2.3,-1.25,-2.5,1.0,1000.0
38,0.01,0.5138376664098435,46.152961715160394,0.08920469124566943,0.7920380714192365,2.3,-1.25,-2.5,1.0,1000.0
39,0.01,1.3534121938891355,47.88190881899136,0.06120848269599074,0.74800911695778,2.3,-1.25,-2.5,1.0,1000.0
40,0.01,0.4124358431145747,46.41919152792119,0.0931139795399957,-2.947168613946407,2.3,-1.25,-2.5,1.0,1000.0
41,0.01,0.6162160029942344,46.132922673382275,0.03438409964291924,-0.32107128338814217,2.3,-1.25,-2.5,1.0,1000.0
42,0.01,1.5461560127444482,49.969842017066696,0.07778195666293271,-2.5107216563017634,2.3,-1.25,-2.5,1.0,1000.0
43,0.01,0.9155052089672282,51.810738479041945,0.035077955000554085,-2.17386176617968,2.3,-1.25,-2.5,1.0,1000.0
44,0.01,0.9889969627975184,48.4762659425398,0.05195719899866858,-2.847427420099523,2.3,-1.25,-2.5,1.0,1000.0
45,0.01,1.5024581289989265,47.141683724446615,0.0874559826540854,0.6113525881407345,2.3,-1.25,-2.5,1.0,1000.0
46,0.01,1.5261464176216435,48.40341540273302,0.06347214787519215,-1.7841288025011122,2.3,-1.25,-2.5,1.0,1000.0
47,0.01,1.198517113624099,49.23969555718052,0.08969789722274564,-2.3989700615402856,2.3,-1.25,-2.5,1.0,1000.0
48,0.01,0.8058074882222938,49.246707696569196,0.02987689846946162,-3.3056632993005177,2.3,-1.25,-2.5,1.0,1000.0
49,0.01,0.9399683557018954,52.85587166041705,0.050066619192461234,-0.8792213229359502,2.3,-1.25,-2.5,1.0,1000.0
50,0.01,1.4000270307797138,50.45503385942773,0.03964027968634096,0.6883550319543144,2.3,-1.25,-2.5,1.0,1000.0
51,0.01,0.8253219272468089,47.61028583931298,0.09421558503900926,1.4723206145451506,2.3,-1.25,-2.5,1.0,1000.0
52,0.01,1.4901402977532274,50.13468088501642,0.03157341568541917,-2.631296848139579,2.3,-1.25,-2.5,1.0,1000.0
53,0.01,1.4888082120931354,50.93429911306313,0.06689791454632654,1.7373714320900984,2.3,-1.25,-2.5,1.0,1000.0
54,0.01,1.073435178823131,51.607715482983565,0.03914313617406711,-2.106421366284704,2.3,-1.25,-2.5,1.0,1000.0
55,0.01,0.3694615098930481,51.18853304064337,0.01600798308717823,-1.7284171915032398,2.3,-1.25,-2.5,1.0,1000.0
56,0.01,1.4082590040466385,51.37365515261379,0.014544388484920906,0.1863470631142432,2.3,-1.25,-2.5,1.0,1000.0
57,0.01,1.5203853451144431,47.932568962233105,0.018310983283939406,-0.725577446172287,2.3,-1.25,-2.5,1.0,1000.0
58,0.01,0.8489213151133944,51.460076902146724,0.015543226964069802,1.3169325752015766,2.3,-1.25,-2.5,1.0,1000.0
59,0.01,1.3419383048904197,52.86885282904515,0.010075564666178457,-1.4838545982081524,2.3,-1.25,-2.5,1.0,1000.0
60,0.01,0.6539602285306683,52.53389999641611,0.09522946840726097,-3.997050037851913,2.3,-1.25,-2.5,1.0,1000.0
61,0.01,1.2682975108420325,50.172731127771385,0.041050139673399585,0.15913259127641322,2.3,-1.25,-2.5,1.0,1000.0
62,0.01,0.7829764570744385,49.72972106165623,0.0243117368442985,-4.393784005754846,2.3,-1.25,-2.5,1.0,1000.0
63,0.01,0.8067786826501894,52.375413116899466,0.056867502522444595,-1.958498634057813,2.3,-1.25,-2.5,1.0,1000.0
64,0.01,1.3760129913645165,50.60231468081549,0.03881910610813377,-1.091996380731274,2.3,-1.25,-2.5,1.0,1000.0
65,0.01,1.242906061962407,51.9293253814138,0.016044810481418766,-1.4929528270847268,2.3,-1.25,-2.5,1.0,1000.0
66,0.01,0.46409083704678,49.1545918750287,0.028826111997976196,-1.9386166182941897,2.3,-1.25,-2.5,1.0,1000.0
67,0.01,1.3688426592728133,48.55352110414947,0.05797600559553978,1.5712390055643102,2.3,-1.25,-2.5,1.0,1000.0
68,0.01,1.5241565577038314,50.76486610362094,0.06603162044874823,-0.5917588853854241,2.3,-1.25,-2.5,1.0,1000.0
69,0.01,0.6712063156575403,47.65956370685756,0.07126097795709495,-1.5705072801420124,2.3,-1.25,-2.5,1.0,1000.0
70,0.01,0.7650220117407264,47.67305269720136,0.09344595393713183,-2.9197586321532762,2.3,-1.25,-2.5,1.0,1000.0
71,0.01,0.7265408616581199,51.96426144084457,0.07127850559430524,-2.9649416701631477,2.3,-1.25,-2.5,1.0,1000.0
72,0.01,1.5386954326115287,47.62846141953779,0.0426937003631434,1.7866048890083803,2.3,-1.25,-2.5,1.0,1000.0
73,0.01,0.4787872366761075,51.75562007089826,0.06512413683915397,-3.37336864949515,2.3,-1.25,-2.5,1.0,1000.0
74,0.01,0.7624975212228714,49.58296201175866,0.08872416656963017,0.3308724561297911,2.3,-1.25,-2.5,1.0,1000.0
75,0.01,1.3945147808758878,51.09740331195032,0.06377136569967687,-1.2061686471868214,2.3,-1.25,-2.5,1.0,1000.0
76,0.01,1.197267429573356,49.28414419411975,0.01985271585809199,-0.5299003720491724,2.3,-1.25,-2.5,1.0,1000.0
77,0.01,0.8974398339121009,51.12352470513329,0.030901832119272665,1.902331895455779,2.3,-1.25,-2.5,1.0,1000.0
78,0.01,0.8707993788682667,49.29504368428791,0.07063557009799028,-2.217173748620935,2.3,-1.25,-2.5,1.0,1000.0
79,0.01,1.5056917009925128,50.812233753298045,0.04236334401526974,1.6522621695023352,2.3,-1.25,-2.5,1.0,1000.0
80,0.01,1.0669707600597085,50.39223516404806,0.06353724958718332,-0.644743771900516,2.3,-1.25,-2.5,1.0,1000.0
81,0.01,0.5088857868011926,49.44935962121316,0.09433720851073328,-2.0171379659749586,2.3,-1.25,-2.5,1.0,1000.0
82,0.01,1.2794248135833568,49.24866681579616,0.08099667936292503,-0.866283057257144,2.3,-1.25,-2.5,1.0,1000.0
83,0.01,1.2509515511654334,51.32752563688604,0.09362372339965766,-1.0099737577691728,2.3,-1.25,-2.5,1.0,1000.0
84,0.01,0.9148573802447079,47.295045344449996,0.08259527158871453,-0.938184179538414,2.3,-1.25,-2.5,1.0,1000.0
85,0.01,0.9698476392395863,51.755284000115125,0.051903325018397825,1.991915861045614,2.3,-1.25,-2.5,1.0,1000.0
86,0.01,1.0870014977913507,50.97048093272184,0.06485291319650027,0.5059062627589395,2.3,-1.25,-2.5,1.0,1000.0
87,0.01,1.0684788110513117,46.23414968073202,0.08972442468004747,1.5446261004433497,2.3,-1.25,-2.5,1.0,1000.0
88,0.01,1.2853270047992373,46.22031361874299,0.05672322070767254,1.1650526011331745,2.3,-1.25,-2.5,1.0,1000.0
89,0.01,0.5863365774132114,51.42480212539112,0.06812249866961918,-3.9995104665809738,2.3,-1.25,-2.5,1.0,1000.0
